날짜,  현재생활형편CSI,  현재경기판단CSI,  생활형편전망CSI,  향후경기전망CSI,  취업기회전망CSI,  금리수준전망CSI,  가계수입전망CSI,  물가수준전망(1년후)CSI,  임금수준전망CSI,소비자심리지수
201901,90,65,91,76,78,125,98,145,122,98.5
201902,93,70,92,80,79,120,98,145,120,100.6
201903,91,70,94,79,79,115,98,144,116,100.8
201904,93,74,95,81,83,110,99,142,117,102.8
201905,91,69,92,75,80,109,97,145,116,98.9
201906,91,69,92,75,79,100,97,143,117,98.6
201907,91,67,92,70,77,94,96,141,118,96.9
201908,90,63,89,66,74,85,94,140,118,93.3
201909,92,68,92,75,79,85,97,134,117,98
201910,92,72,93,77,81,87,97,132,117,99.7
201911,92,73,95,81,84,86,99,133,117,102
201912,92,74,94,82,84,91,98,135,117,101.6
202001,93,78,97,87,88,95,101,139,119,105.4
202002,91,66,93,76,81,92,97,137,116,97.9
202003,83,38,83,62,64,72,87,134,109,79.3
202004,77,31,79,59,58,77,83,132,102,71.5
202005,79,36,85,67,63,82,87,131,104,78.4
202006,84,44,87,70,65,82,88,132,105,82.7
202007,85,49,87,70,65,88,90,135,110,85.1
202008,85,54,89,75,72,90,92,139,111,89.1
202009,81,42,85,66,60,89,88,139,105,80.3
202010,86,58,91,83,75,95,94,139,109,92.6
202011,89,72,94,91,82,97,96,138,111,99
202012,86,56,89,81,74,99,93,139,109,90.8
202101,86,56,93,89,80,102,96,142,112,95.2
202102,87,63,94,90,80,104,96,144,112,97.4
202103,89,72,95,93,84,114,96,146,112,100.6
202104,92,77,96,94,86,112,97,145,113,102.5
202105,93,85,97,99,92,118,98,146,114,105.7
202106,93,94,99,109,103,124,100,147,117,111.1
202107,91,82,96,92,87,126,98,147,118,103.6
202108,91,77,96,90,86,126,99,149,119,102.9
202109,91,78,96,94,88,134,99,149,117,104.2
202110,92,80,98,96,94,133,101,149,117,107.4
202111,92,81,97,96,98,138,101,152,117,108.3
202112,91,79,96,88,89,137,100,151,117,104.4
202201,91,76,96,93,92,139,100,152,118,105
202202,90,75,96,91,93,139,99,152,117,103.6
202203,90,71,95,87,94,136,99,154,113,103.8
202204,92,74,94,87,94,141,99,155,116,104.4
202205,89,74,93,84,95,146,98,157,117,103.2
202206,87,60,88,69,86,149,97,163,116,96.7
202207,81,43,79,50,69,152,93,166,117,85.9
202208,83,47,83,58,72,149,94,158,117,88.7
202209,85,50,86,62,76,147,96,157,115,91.5
202210,83,47,84,56,70,150,94,157,114,88.8
202211,83,46,82,54,66,151,93,156,113,86.4
202212,83,51,85,62,70,133,95,151,113,90
202301,82,51,85,60,66,132,96,151,113,90.6
202302,82,48,83,60,69,113,95,153,113,90
202303,83,52,87,63,70,120,96,151,112,91.9
202304,87,58,90,68,74,111,96,148,114,95.1
202305,88,64,92,74,78,114,97,146,116,98.1
202306,89,69,93,78,81,105,98,146,116,100.8
202307,91,75,94,84,85,112,99,144,118,103.5
202308,91,72,95,80,84,118,100,147,118,103.4
202309,89,66,92,74,77,118,99,147,117,99.8
202310,88,64,90,70,78,128,98,151,116,98.2
202311,87,62,90,72,77,119,98,149,115,97.2
202312,88,67,92,77,81,107,99,146,116,99.7
